Country,Year,BN.CAB.XOKA.GD.ZS,BX.KLT.DINV.WD.GD.ZS,CM.MKT.LCAP.GD.ZS,FM.LBL.BMNY.GD.ZS,FM.LBL.BMNY.ZG,FP.CPI.TOTL,FP.CPI.TOTL.ZG,FS.AST.DOMS.GD.ZS,FS.AST.PRVT.GD.ZS,GC.DOD.TOTL.GD.ZS,NE.CON.GOVT.KD.ZG,NE.CON.GOVT.ZS,NE.CON.TOTL.KD.ZG,NE.CON.TOTL.ZS,NE.EXP.GNFS.KD.ZG,NE.EXP.GNFS.ZS,NE.GDI.TOTL.KD.ZG,NE.GDI.TOTL.ZS,NE.IMP.GNFS.KD.ZG,NE.IMP.GNFS.ZS,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GDP.PCAP.KD.ZG,NY.GDP.PCAP.PP.CD,NY.GNS.ICTR.ZS,PX.REX.REER,SI.POV.NAGP,SL.UEM.TOTL.ZS
ITA,2002,-0.26685372626063103,1.3566690018624699,37.543936299327505,,,85.0038779193305,2.46532319171164,93.22271454755828,62.0622576826703,,1.34246258699207,18.545998845110397,0.284878771086611,77.6717561350642,-2.8046264659686697,24.4074673383008,4.26335149760003,21.571233487148298,0.5627518353018389,23.6504569605133,0.25394299896845496,22270.1441234282,0.10475951355985601,28736.5771073504,21.3044703549578,96.7367235146196,,9.20699977874756
ITA,2003,-0.5913867177750279,1.2433973038618897,39.0587428848151,,,87.27565375744709,2.67255552772852,98.9634853027175,65.3333650726913,,1.4005945193100802,18.975427714138103,0.84821815721314,78.3650841633128,-1.29836360934848,23.3021929123911,-0.131344543384955,21.1793747900972,0.7398119252629269,22.846651865801,0.138626890776507,27465.675298722403,-0.305508789463318,29164.5952658333,20.583020973398,102.862420358677,,8.86600017547607
ITA,2004,-0.359182562928615,1.1147095323488,43.7860920464443,,,89.20159756422701,2.20673661423654,100.054671184499,67.7279578384639,,0.636106270842703,19.1593582401662,0.890361767730823,78.1482305196035,6.129574659533151,24.009828419238502,1.6163758658334,21.2624430307667,4.57308388566993,23.4205019696086,1.42359415817907,31259.716495430897,0.769317663351927,29527.790938051297,20.9243367515881,104.631283556534,,7.866000175476071
ITA,2005,-0.9152458021817641,1.9790897389448798,42.9643296972829,,,90.9725106234272,1.98529298527983,104.445576507197,70.85062866417259,,0.5645132557688439,19.6144935781847,1.18508984689103,78.9294548675972,3.21657286896964,24.601092381788202,-0.35196746426942105,21.1693711309581,3.44030794792755,24.6999183803436,0.817848973650598,32043.1403684119,0.323656244406962,30130.644456912796,20.282786262372102,102.82883946565701,,7.730999946594241
ITA,2006,-1.47665945577323,2.9259668581453697,52.697460028062295,,,92.8746038216872,2.09084391012755,108.32313380908501,75.77188136074841,,-0.47086553564058403,19.483774834693,0.892321940728323,78.8635866550807,8.31032737216466,26.1734884330826,4.75998369179635,21.9576156633778,7.9585432904176105,26.9946907515411,1.7906396808179599,33501.6581673044,1.4851573595770202,32419.936147751498,20.487496879756,102.440697592456,,6.77699995040894
ITA,2007,-1.3808698271328,2.98492308508201,48.52455563753139,,,94.5739686397295,1.829741122024,124.411102575005,81.7998788486635,,0.5085979739442621,19.027645962156697,1.01947545979202,78.0933316109747,6.19733243423694,27.361042253231602,2.4290818718647205,22.246045706824898,5.454208409992731,27.700413378466397,1.4870729803678602,37822.6652377427,0.975922132963376,34108.204292828195,20.8759485499646,103.08108839584,,6.074999809265139
ITA,2008,-2.78580458154948,-0.39608783681454907,21.764026672599396,,,97.740146777842,3.34783258401023,137.147024661547,83.688740436737,,1.32422366415264,19.5599387775315,-0.5336203983664799,78.9888119883295,-3.16913205308693,26.862774694794396,-3.56443271017902,21.778514420900397,-4.02432184350204,27.630101104024302,-0.9620128405792908,40778.3427367209,-1.6159406274292702,35523.2713104342,18.9955585289168,103.936916822228,,6.72300004959106
ITA,2009,-1.8418304507150802,0.757889694945498,,,,98.497406286648,0.7747681313873841,145.882922359016,87.56486502919408,,-0.0852616537952713,20.678635597432198,-1.15103863918793,81.1116889783072,-17.8164125409252,22.399161733996397,-14.740772798038499,19.508755681307,-13.118165018648698,23.019600053485302,-5.280937208293099,37079.7586704546,-5.71150838276657,34610.0314472579,17.663101759595698,105.067138162699,,7.749000072479251
ITA,2010,-3.42048620465029,0.46534294089119205,,,,100.0,1.5255160211824799,159.784144202427,93.0509631042264,,0.686771581548044,20.5529841689778,0.957617380186932,81.2782873038655,11.7615639494964,25.0740498513169,5.6530084387290005,20.5797951615344,12.1668588015008,26.932138522965,1.7132958391692201,36000.5201179254,1.4009153429996202,35155.6680557794,17.2580885898766,100.0,,8.36299991607666
ITA,2011,-2.9789384797460894,1.50373544840568,,,,102.780632728793,2.78063272879324,162.996363682238,94.0603211221456,,-2.0363728367213403,19.816033399245697,-0.466543371982382,80.93250073782909,5.41987147647059,26.872463466087602,-0.586800293888047,20.4680887248433,0.563230919972966,28.2730589939396,0.7073333470344352,38599.0622070322,0.5342874395848161,36598.0149693024,17.6502639429585,99.8679486646929,,8.35900020599365
